Hebrew,Transliteration,Root,Meaning,Part of speech
חַמְדָן,chamdan,ח - מ - ד,"covetous person, greedy, avaricious person","Noun –katlanpattern, masculine"
מַחְמָד,machmad,ח - מ - ד,"object of desire, something precious (lit.); darling (lit.)","Noun –maktalpattern, masculine"
חֶמְלָה,chemla,ח - מ - ל,"compassion, mercy (lit.)","Noun –kitlapattern, feminine"
חוֹם,chom,ח - מ - ם,"heat, warmth","Noun –kotelpattern, masculine"
הִתְחַמְּמוּת,hitchamemut,ח - מ - ם,"heating, warming up, becoming hot","Noun –hitkattlutpattern, feminine"
חַמָּה,chama,ח - מ - ם,sun (lit.),"Noun –katlapattern, feminine"
חֲמָמָה,chamama,ח - מ - ם,"greenhouse, hothouse","Noun –ktalapattern, feminine"
חִימּוּם,chimum,ח - מ - ם,"heating, warming; stimulation","Noun –kittulpattern, masculine"
חַמְסָן,chamsan,ח - מ - ס,"robber, thief (Talmudic)","Noun –katlanpattern, masculine"
חָמוֹס,chamos,ח - מ - ס,"ferret, European polecat","Noun –katolpattern, masculine"
חָמָס,chamas,ח - מ - ס,"robbery, evil-doing (lit.)","Noun –katalpattern, masculine"
חוֹמֶץ,chometz,ח - מ - ץ,vinegar,"Noun –kotelpattern, masculine"
חוּמְצָה,chumtza,ח - מ - ץ,acid,"Noun –kutlapattern, feminine"
מַחְמָץ,machmatz,ח - מ - ץ,"pickled food, pickles","Noun –maktalpattern, masculine"
חַמְצָן,chamtzan,ח - מ - ץ,oxygen,"Noun –katlanpattern, masculine"
תַּחְמוֹצֶת,tachmotzet,ח - מ - ץ,oxide (chemistry),"Noun –tiktoletpattern, feminine"
חֲמִיצָה,chamitza,ח - מ - ץ,borscht,"Noun –ktilapattern, feminine"
חִימְצוּן,chimtzun,ח - מ - צ - ן,oxidation,"Noun –kittulpattern, masculine"
חַמְקָן,chamkan,ח - מ - ק,"stealth plane, stealth vehicle (military); evasive person","Noun –katlanpattern, masculine"
חוֹמֶר,chomer,ח - מ - ר,"material, substance","Noun –kotelpattern, masculine"
חוּמְרָה,chumra,ח - מ - ר,"severity, gravity","Noun –kutlapattern, feminine"
חוֹמְרָה,chomra,ח - מ - ר,hardware (computing),"Noun –kotlapattern, feminine"
חֲמוֹר,chamor,ח - מ - ר,"donkey, ass; vaulting horse","Noun –ktolpattern, masculine"
חוֹמֶשׁ,chomesh,ח - מ - שׁ,fifth part,"Noun –kotelpattern, masculine"
תַּחְמוֹשֶׁת,tachmoshet,ח - מ - שׁ,"ammunition, munitions","Noun –tiktoletpattern, feminine"
חִימּוּשׁ,chimush,ח - מ - שׁ,"munition, arming (military); ammunition, ordnance","Noun –kittulpattern, masculine"
חִיטָּה,chita,ח - נ - ט,🌾 wheat,"Noun –kitlapattern, feminine"
חֲנִייָּה,chaniya,ח - נ - ה,parking,"Noun –ktilapattern, feminine"
מַחֲנֶה,machane,ח - נ - ה,camp,"Noun –miktalpattern, masculine"
חֲנוּת,chanut,ח - נ - ה,"shop, store","Noun –ktutpattern, feminine"
חַנְיוֹן,chanyon,ח - נ - ה,"car park, parking","Noun –kitlonpattern, masculine"
חֲנָיָה,chanaya,ח - נ - ה,parking,"Noun –ktalapattern, feminine"
חִינּוּךְ,chinuch,ח - נ - ך,education,"Noun –kittulpattern, masculine"
חָנִיךְ,chanich,ח - נ - ך,"student, pupil","Noun –katilpattern, masculine"
חֲנוּכָּה,chanuka,ח - נ - ך,"inauguration, opening ceremony; Hanukkah","Noun –ktullapattern, feminine"
חֵן,chen,ח - נ - ן,"charm, grace, attractiveness","Noun –ketelpattern, masculine"
חַנְפָן,chanfan,ח - נ - ף,"sycophant, flatterer","Noun –katlanpattern, masculine"
חֲנִיקָה,chanika,ח - נ - ק,"choking, strangling","Noun –ktilapattern, feminine"
חֶנֶק,chenek,ח - נ - ק,"strangulation, choking","Noun –ketelpattern, masculine"
חַנָּק,chanak,ח - נ - ק,javelin sand boa (snake),"Noun –kattalpattern, masculine"
מַחֲנָק,machanak,ח - נ - ק,suffocation,"Noun –miktalpattern, masculine"
חֶסֶד,chesed,ח - ס - ד,"kindness, charity, grace","Noun –ketelpattern, masculine"
חֲסִידָה,chasida,ח - ס - ד,stork,"Noun –ktilapattern, feminine"
חָסוּת,chasut,ח - ס - ה,"shelter, refuge; patronage, protection","Noun –katutpattern, feminine"
חִיסָּיוֹן,chisayon,ח - ס - ה,legal protection; confidentiality,"Noun –kittalonpattern, masculine"
מַחֲסֶה,machase,ח - ס - ה,"shelter, refuge, cover","Noun –miktalpattern, masculine"
חִיסָּכוֹן,chisachon,ח - ס - ך,"economy, saving","Noun –kittalonpattern, masculine"
חַסְכָן,chaschan,ח - ס - ך,frugal person,"Noun –katlanpattern, masculine"
חִיסּוּל,chisul,ח - ס - ל,elimination,"Noun –kittulpattern, masculine"
חָסִיל,chasil,ח - ס - ל,locust (biblical),"Noun –katilpattern, masculine"
מַחְסוֹם,machsom,ח - ס - ם,"barrier, barricade; obstacle","Noun –miktolpattern, masculine"
חֲסִימָה,chasima,ח - ס - ם,"blocking, obstruction, occlusion; blockade","Noun –ktilapattern, feminine"
הִתְחַסְּנוּת,hitchasnut,ח - ס - ן,immunization; strengthening,"Noun –hitkattlutpattern, feminine"
חוֹסֶן,chosen,ח - ס - ן,"strength, power","Noun –kotelpattern, masculine"
מַחְסָן,machsan,ח - ס - ן,"store, warehouse, depot","Noun –miktalpattern, masculine"
חִיסּוּן,chisun,ח - ס - ן,"immunization, vaccination; vaccine (coll.)","Noun –kittulpattern, masculine"
חִיסּוּר,chisur,ח - ס - ר,subtraction (mathematics); absence,"Noun –kittulpattern, masculine"
חִיסָּרוֹן,chisaron,ח - ס - ר,"drawback, disadvantage","Noun –kittalonpattern, masculine"
חוֹסֶר,choser,ח - ס - ר,"lack, absence","Noun –kotelpattern, masculine"
חִיפּוּי,chipuy,ח - פ - ה,"cover, covering, cover-up, covering fire (military)","Noun –kittulpattern, masculine"
חוֹפֶן,chofen,ח - פ - ן,handful,"Noun –kotelpattern, masculine"
חֲפִיסָה,chafisa,ח - פ - ס,"packet, pack (of cigarettes, chewing gum, etc.); bar (chocolate, soap)","Noun –ktilapattern, feminine"
חוּפָּה,chupa,ח - פ - ף,canopy (at Jewish weddings); Jewish marriage ceremony,"Noun –kutlapattern, feminine"
חֲפִיפָה,chafifa,ח - פ - ף,"overlap, congruence (geometry); handing over (duties, job etc.)","Noun –ktilapattern, feminine"
חֲפִיפָה,chafifa,ח - פ - ף,washing hair,"Noun –ktilapattern, feminine"
חֵפֶץ,chefetz,ח - פ - ץ,"desire, wish (lit.)","Noun –ketelpattern, masculine"
חֵפֶץ,chefetz,ח - פ - צ - א,"object, article","Noun –ketelpattern, masculine"
חֲפִירָה,chafira,ח - פ - ר,"excavation, digging","Noun –ktilapattern, feminine"
מַחְפֵּר,machper,ח - פ - ר,"dredger, bulldozer, excavator","Noun –maktelpattern, masculine"
חִיפּוּשׂ,chipus,ח - פ - שׂ,search,"Noun –kittulpattern, masculine"
תַּחְפּוֹשֶׂת,tachposet,ח - פ - שׂ,"fancy dress, costume","Noun –tiktoletpattern, feminine"
חוֹפֶשׁ,chofesh,ח - פ - שׁ,"freedom, liberty; holidays, vacation (coll.)","Noun –kotelpattern, masculine"
חוּפְשָׁה,chufsha,ח - פ - שׁ,"holiday, vacation","Noun –kutlapattern, feminine"
מַחְצָב,machtzav,ח - צ - ב,mineral,"Noun –maktalpattern, masculine"
חָצָב,chatzav,ח - צ - ב,squill (plant),"Noun –katalpattern, masculine"
חֲצוּבָה,chatzuva,ח - צ - ב,tripod,"Noun –ktulapattern, feminine"
חַצֶּבֶת,chatzevet,ח - צ - ב,"measles, rubeola","Noun –katteletpattern, feminine"
חוֹצֵב,chotzev,ח - צ - ב,"hewer, stonecutter","Noun –kotelpattern, masculine"
חֶצִי,chetzi,ח - צ - ה,half,"Noun –ketelpattern, masculine"
חָצִיל,chatzil,ח - צ - ל,"🍆 eggplant, aubergine","Noun –katilpattern, masculine"
מַחְצֶלֶת,machtzelet,ח - צ - ל,mat,"Noun –makteletpattern, feminine"
חוּצְפָּה,chutzpa,ח - צ - ף,"insolence, audacity","Noun –kutlapattern, feminine"
חֵץ,chetz,ח - צ - ץ,"arrow, dart","Noun –ketelpattern, masculine"
מְחִיצָּה,mechitza,ח - צ - ץ,partition; barrier,"Noun –mekilapattern, feminine"
חָצָץ,chatzatz,ח - צ - ץ,gravel,"Noun –katalpattern, masculine"
חָצֵר,chatzer,ח - צ - ר,"yard, backyard, garden","Noun –katelpattern, feminine"
חָצִיר,chatzir,ח - צ - ר,hay,"Noun –katilpattern, masculine"
חִיקּוּי,chikuy,ח - ק - ה,"imitation, mimicry, impersonation; parody","Noun –kittulpattern, masculine"
חַקְייָן,chakyan,ח - ק - ה,"imitator, mimic","Noun –katlanpattern, masculine"
חוֹקֶן,choken,ח - ק - ן,enema,"Noun –kotelpattern, masculine"
חוּקָּה,chuka,ח - ק - ק,constitution (law),"Noun –kutlapattern, feminine"
תְּחִיקָּה,tchika,ח - ק - ק,legislation,"Noun –tkillapattern, feminine"
תְּחִיקָּה,tchika,ח - ק - ק,legislation,"Noun –tkillapattern, feminine"
חוֹק,chok,ח - ק - ק,"law, decree, rule","Noun –kotelpattern, masculine"
חֲקִיקָה,chakika,ח - ק - ק,legislation,"Noun –ktilapattern, feminine"
חֲקִיקָה,chakika,ח - ק - ק,"engraving, etching","Noun –ktilapattern, feminine"
תַּחְקִיר,tachkir,ח - ק - ר,"investigation, inquiry","Noun –taktilpattern, masculine"
מֶחְקָר,mechkar,ח - ק - ר,"research, study, survey","Noun –miktalpattern, masculine"
חֵקֶר,cheker,ח - ק - ר,"research, study","Noun –ketelpattern, masculine"
חֲקִירָה,chakira,ח - ק - ר,"investigation, inquiry; research","Noun –ktilapattern, feminine"
חֶרֶב,cherev,ח - ר - ב,"sword, sabre, saber","Noun –ketelpattern, feminine"
חֲרִיגָה,chariga,ח - ר - ג,"exception, deviation","Noun –ktilapattern, feminine"
חֲרָדָה,charada,ח - ר - ד,"anxiety, fear","Noun –ktalapattern, feminine"
חָרוּז,charuz,ח - ר - ז,rhyme,"Noun –katulpattern, masculine"
חֲרִיזָה,chariza,ח - ר - ז,rhyming,"Noun –ktilapattern, feminine"
מַחְרוֹזֶת,machrozet,ח - ר - ז,"beaded necklace; string (of beads, pearls, flowers); medley, a series of melodies or songs","Noun –maktoletpattern, feminine"
חֲרָטָה,charata,ח - ר - ט,"remorse, regret","Noun –ktalapattern, feminine"
חַרְטָט,chartat,ח - ר - ט - ט,"rubbish, nonsense (slang)","Noun –kattalpattern, masculine"
הִתְחָרוּת,hitcharut,ח - ר - ה,competition,"Noun –hitkattlutpattern, feminine"
חָרָךְ,charach,ח - ר - ך,"slit, aperture; small window","Noun –katalpattern, masculine"
חֲרִיכָה,charicha,ח - ר - ך,"singeing, scorching","Noun –ktilapattern, feminine"
חֵירוּם,cherum,ח - ר - ם,emergency,"Noun –kittulpattern, masculine"
חֵרֶם,cherem,ח - ר - ם,"boycott, embargo, ban; excommunication","Noun –ketelpattern, masculine"
חֶרֶס,cheres,ח - ר - ס,"clay, earthenware; shard, potsherd (archeology)","Noun –ketelpattern, masculine"
חוֹרֶף,choref,ח - ר - ף,winter,"Noun –kotelpattern, masculine"
חֶרְפָּה,cherpa,ח - ר - ף,"shame, disgrace; (in plural) insults, abuse","Noun –kitlapattern, feminine"
חָרִיץ,charitz,ח - ר - ץ,"slit, slot, notch; crack, chink","Noun –katilpattern, masculine"
חֶרֶק,cherek,ח - ר - ק,"insect, bug","Noun –ketelpattern, masculine"
חוֹר,chor,ח - ר - ר,hole,"Noun –kotelpattern, masculine"
מַחְרֵשָׁה,machresha,ח - ר - שׁ,plough (plow),"Noun –maktelapattern, feminine"
חוּרְשָׁה,chursha,ח - ר - שׁ,"grove, small forest","Noun –kutlapattern, feminine"
חִישּׁוּב,chishuv,ח - שׁ - ב,"calculation, computation","Noun –kittulpattern, masculine"
הִתְחַשְּׁבוּת,hitchashvut,ח - שׁ - ב,"consideration, ability to take into account","Noun –hitkattlutpattern, feminine"
מַחְשֵׁב,machshev,ח - שׁ - ב,computer,"Noun –maktelpattern, masculine"
חַשָּׁב,chashav,ח - שׁ - ב,accountant (rare),"Noun –kattalpattern, masculine"
חֶשְׁבּוֹן,cheshbon,ח - שׁ - ב,"account, bill","Noun –kitlonpattern, masculine"
חֲשִׁיבָה,chashiva,ח - שׁ - ב,"thought process, thinking","Noun –ktilapattern, feminine"
מַחְשָׁבָה,machshava,ח - שׁ - ב,"thought; worry, consideration; philosophy","Noun –miktalapattern, feminine"
חֲשָׁד,chashad,ח - שׁ - ד,suspicion,"Noun –ktalpattern, masculine"
חוֹשֶׁךְ,choshech,ח - שׁ - ך,darkness,"Noun –kotelpattern, masculine"
הִתְחַשְׁמְלוּת,hitchashmelut,ח - שׁ - מ - ל,electrocution,"Noun –hitkattlutpattern, feminine"
חֲשִׂיפָה,chasifa,ח - שׂ - ף,"exposure, unveiling","Noun –ktilapattern, feminine"
חַשְׂפָן,chasfan,ח - שׂ - ף,stripper (male),"Noun –katlanpattern, masculine"
חֵשֶׁק,cheshek,ח - שׁ - ק,"desire, urge","Noun –ketelpattern, masculine"
חֲשָׁשׁ,chashash,ח - שׁ - שׁ,"worry, fear, concern (for something: ל־)","Noun –ktalpattern, masculine"
חֲתָךְ,chatach,ח - ת - ך,"section, cross-section; cut, incision","Noun –ktalpattern, masculine"
חָתִיךְ,chatich,ח - ת - ך,handsome man,"Noun –katilpattern, masculine"
חֲתִיכָה,chaticha,ח - ת - ך,piece; pretty woman (slang),"Noun –ktilapattern, feminine"
חִיתּוּל,chitul,ח - ת - ל,"diaper, nappy","Noun –kittulpattern, masculine"
חֲתִימָה,chatima,ח - ת - ם,"signature; signing; conclusion, completion; subscription; autograph","Noun –ktilapattern, feminine"
חֲתוּנָּה,chatuna,ח - ת - ן,wedding,"Noun –ktullapattern, feminine"
חָתָן,chatan,ח - ת - ן,"bridegroom, groom; son-in-law","Noun –katalpattern, masculine"
מַחְתֶּרֶת,machteret,ח - ת - ר,underground organisation,"Noun –makteletpattern, feminine"
חֲתָת,chatat,ח - ת - ת,"fear, terror (lit.)","Noun –ktalpattern, feminine"
מַטְאֲטֵא,mat'ate,ט - א - ט - א,broom,"Noun –maktelpattern, masculine"
טַבָּח,tabach,ט - ב - ח,cook,"Noun –kattalpattern, masculine"
מִטְבָּח,mitbach,ט - ב - ח,"kitchen, cuisine","Noun –miktalpattern, masculine"
טֶבַח,tevach,ט - ב - ח,"massacre, slaughter","Noun –ketelpattern, masculine"
מַטְבֵּעַ,matbea,ט - ב - ע,coin,"Noun –maktelpattern, masc. and fem."
טֶבַע,teva,ט - ב - ע,nature,"Noun –ketelpattern, masculine"
טַבַּעַת,taba'at,ט - ב - ע,"ring, circle","Noun –katteletpattern, feminine"
טוֹהַר,tohar,ט - ה - ר,"purity, cleanness","Noun –kotelpattern, masculine"
טִיהוּר,tihur,ט - ה - ר,"purification; ritual cleansing, purging","Noun –kittulpattern, masculine"
טְווָח,tvach,ט - ו - ח,"distance (to target), range","Noun –ktalpattern, masculine"
מָטוֹס,matos,ט - ו - ס,"airplane, plane","Noun –miktalpattern, masculine"
טִיסָה,tisa,ט - ו - ס,flight (of an airplane),"Noun –ktilapattern, feminine"
טְחָב,tchav,ט - ח - ב,moss,"Noun –ktalpattern, masculine"
טַחַב,tachav,ט - ח - ב,"mustiness, dampness","Noun –ketelpattern, masculine"
מַטְחֵנָה,matchena,ט - ח - ן,"food grinder, coffee grinder","Noun –maktelapattern, feminine"
טְחִינָה,tchina,ט - ח - ן,"sesame paste, tahini","Noun –ktilapattern, feminine"
טִיּוּחַ,tiyuach,ט - י - ח,"plastering (a wall); cover-up, concealing (coll.)","Noun –kittulpattern, masculine"
טְיוּטָה,tyuta,ט - י - ט,"draft, preliminary version of a text","Noun –ktulapattern, feminine"
טַייֶּלֶת,tayelet,ט - י - ל,promenade,"Noun –katteletpattern, feminine"
טִיּוּל,tiyul,ט - י - ל,"walk, journey","Noun –kittulpattern, masculine"
טַייָּס,tayas,ט - י - ס,"pilot, aviator","Noun –kattalpattern, masculine"
טְלַאי,tlay,ט - ל - א,patch,"Noun –ktalpattern, masculine"
טַל,tal,ט - ל - ל,dew,"Noun –ketelpattern, masculine"
טֶלֶף,telef,ט - ל - ף,hoof,"Noun –ketelpattern, masculine"
טוּמְאָה,tum'a,ט - מ - א,"defilement, impurity","Noun –kutlapattern, feminine"
טִימְטוּם,timtum,ט - מ - ט - ם,"stupidity, asininity (coll.)","Noun –kittulpattern, masculine"
הִיטַּמְּעוּת,hitam'ut,ט - מ - ע,assimilation,"Noun –hitkattlutpattern, feminine"
טִינּוֹפֶת,tinofet,ט - נ - ף,disreputable person (slang); foulness,"Noun –kittoletpattern, feminine"
טָעוּת,ta'ut,ט - ע - ה,"error, mistake","Noun –katutpattern, feminine"
טְעִימָה,te'ima,ט - ע - ם,"tasting; tasting sample, piece","Noun –ktilapattern, feminine"
מַטְעָם,mat'am,ט - ע - ם,delicacy,"Noun –maktalpattern, masculine"
טַעַם,ta'am,ט - ע - ם,taste,"Noun –ketelpattern, masculine"
מִטְעָן,mit'an,ט - ע - ן,"charge (electrical or explosive); baggage, cargo","Noun –miktalpattern, masculine"
מַטְעֵן,mat'en,ט - ע - ן,battery charger,"Noun –maktelpattern, masculine"
טְעִינָה,te'ina,ט - ע - ן,"loading (vehicle, ship); loading, charging (weapon); charging (battery)","Noun –ktilapattern, feminine"
טַעֲנָה,ta'ana,ט - ע - ן,"claim, plea; argument, argumentation; complaint, objection","Noun –katlapattern, feminine"
טִיעוּן,ti'un,ט - ע - ן,"plea, submission (law); case, argumentation","Noun –kittulpattern, masculine"
טְפִיחָה,tficha,ט - פ - ח,"slap, light blow","Noun –ktilapattern, feminine"
טֶפַח,tefach,ט - פ - ח,"handbreadth; a little, small amount","Noun –ketelpattern, masculine"
